"num" "sf" "shift" "Temp" "LM" "MW" "C" "N" "Rh" "O" "cansmi" "envlab" "ref"
"14" "RhMan0925-CMP24" "C54H101F6NO4P4RhS2" "-1046" 298 "THF-d8" 1233.3050032 54 1 1 4 "C1CCC(CC1)P1(CCP([Rh]21P(CCP2(C1CCCCC1)C1CCCCC1)(C1CCCCC1)C1CCCCC1)(C1CCCCC1)C1CCCCC1)C1CCCCC1.FC(S(=O)(=O)NS(=O)(=O)C(F)(F)F)(F)F" "P1P1P1P1" "https://doi.org/10.1002/anie.202408356"
"15" "RhMan0925-CMP25" "C54H265F46NO4P4RhS2" "-542" 333 "THF-d8" 2158.5432912 54 1 1 4 "FCS(=O)(=O)NS(=O)(=O)C(F)(F)F.[Rh].F.F.F.F.F.F.F.F.F.F.F.F.F.F.F.F.F.F.F.F.F.F.F.F.F.F.F.F.F.F.F.F.F.F.F.F.F.F.F.F.F.F.P.P.P.P.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C" "P1P1P1P1" "https://doi.org/10.1002/anie.202408356"
"16" "RhMan0925-CMP26" "C14H37F6NO4P4RhS2" "-1104" 298 "THF-d8" 688.368843200001 14 1 1 4 "FC(S(=O)(=O)NS(=O)(=O)C(F)(F)F)(F)F.CP1(C)CCP([Rh]21P(C)(C)CCP2(C)C)(C)C" "P1P1P1P1" "https://doi.org/10.1002/anie.202408356"
"17" "RhMan0925-CMP27" "C50H49NaP4Rh" "-313" 298 "THF-d8" 899.714374 50 0 1 0 "c1ccc(cc1)P1(CP([Rh]21P(CP2(c1ccccc1)c1ccccc1)(c1ccccc1)c1ccccc1)(c1ccccc1)c1ccccc1)c1ccccc1.[NaH]" "P1P1P1P1" "https://doi.org/10.1002/anie.202408356"
"18" "RhMan0925-CMP28" "C52H53NaP4Rh" "-928" 298 "THF-d8" 927.767534000001 52 0 1 0 "c1ccc(cc1)P1(CCP([Rh]21P(CCP2(c1ccccc1)c1ccccc1)(c1ccccc1)c1ccccc1)(c1ccccc1)c1ccccc1)c1ccccc1.[NaH]" "P1P1P1P1" "https://doi.org/10.1002/anie.202408356"
"19" "RhMan0925-CMP29" "C54H57NaP4Rh" "-502" 298 "THF-d8" 955.820694000001 54 0 1 0 "C1CP(c2ccccc2)(c2ccccc2)[Rh]2(P(C1)(c1ccccc1)c1ccccc1)P(CCCP2(c1ccccc1)c1ccccc1)(c1ccccc1)c1ccccc1.[NaH]" "P1P1P1P1" "https://doi.org/10.1002/anie.202408356"
"20" "RhMan0925-CMP30" "C56H61NaP4Rh" "-467" 298 "THF-d8" 983.873854000001 56 0 1 0 "C1CCP([Rh]2(P(C1)(c1ccccc1)c1ccccc1)P(CCCCP2(c1ccccc1)c1ccccc1)(c1ccccc1)c1ccccc1)(c1ccccc1)c1ccccc1.[NaH]" "P1P1P1P1" "https://doi.org/10.1002/anie.202408356"
"21" "RhMan0925-CMP31" "C52H45F8NaP4Rh" "-954" 298 "THF-d8" 1071.6912396 52 0 1 0 "Fc1ccc(cc1)P1(CCP([Rh]21P(CCP2(c1ccc(cc1)F)c1ccc(cc1)F)(c1ccc(cc1)F)c1ccc(cc1)F)(c1ccc(cc1)F)c1ccc(cc1)F)c1ccc(cc1)F.[NaH]" "P1P1P1P1" "https://doi.org/10.1002/anie.202408356"
"22" "RhMan0925-CMP32" "C60H69NaP4Rh" "-936" 298 "THF-d8" 1039.980174 60 0 1 0 "Cc1ccc(cc1)P1(CCP([Rh]21P(CCP2(c1ccc(cc1)C)c1ccc(cc1)C)(c1ccc(cc1)C)c1ccc(cc1)C)(c1ccc(cc1)C)c1ccc(cc1)C)c1ccc(cc1)C.[NaH]" "P1P1P1P1" "https://doi.org/10.1002/anie.202408356"
"23" "RhMan0925-CMP33" "C60H69NaO8P4Rh" "-957" 298 "THF-d8" 1167.975374 60 0 1 8 "COc1ccc(cc1)P1(CCP([Rh]21P(CCP2(c1ccc(cc1)OC)c1ccc(cc1)OC)(c1ccc(cc1)OC)c1ccc(cc1)OC)(c1ccc(cc1)OC)c1ccc(cc1)OC)c1ccc(cc1)OC.[NaH]" "P1P1P1P1" "https://doi.org/10.1002/anie.202408356"
