"num" "sf" "shift" "Temp" "LM" "MW" "C" "N" "Rh" "O" "cansmi" "envlab" "ref"
"193" "LC2008-CMP88" "C46H45F6OP3RhS" "170" NA "toluene-d8" 955.7311022 46 0 1 1 "F[P](F)(F)(F)(F)F.Cc1ccc(cc1)S(=O)C[Rh](P(c1ccccc1P(c1ccccc1)c1ccccc1)(c1ccccc1)c1ccccc1)C1C=CCCC=CC1" "C1P1C1" "R. Zurawinski, B. Donnadieu, M. Mikolajczyk and R. Chauvin, Organometallics, 2003, 22, 4810."
"194" "LC2008-CMP89" "C46H45F6OP3RhS" "261" NA "DCCl3" 955.7311022 46 0 1 1 "F[P](F)(F)(F)(F)F.Cc1ccc(cc1)S(=O)C[Rh](P(c1ccccc1P(c1ccccc1)c1ccccc1)(c1ccccc1)c1ccccc1)C1C=CCCC=CC1" "C1P1C1" "R. Zurawinski, B. Donnadieu, M. Mikolajczyk and R. Chauvin, Organometallics, 2003, 22, 4810."
"195" "LC2008-CMP90" "C28H30NPRh" "787" 295 "DCCl3" 514.423761 28 1 1 0 "Cc1ccc(cc1)N=P(c1ccccc1)(c1ccccc1)C[Rh]C1C=CCCC=CC1" "C1C1" "P. Imhoff, S. C. A. Nefkens, C. J. Elsevier, K. Goubitz and C. H. Stam, Organometallics, 1991, 10, 1421."
"196" "LC2008-CMP91" "C47H46N2P2Rh" "917" 298 "C6D6" 803.734562 47 2 1 0 "Cc1ccc(cc1)N=P(C(P(=Nc1ccc(cc1)C)(c1ccccc1)c1ccccc1)[Rh]C1C=CCCC=CC1)(c1ccccc1)c1ccccc1" "C1C1" "P. Imhoff, R. van Asselt, J. M. Ernsting, K. Vrieze, C. J. Elsevier, W. J. J. Smeets, A. L. Spek and A. P. M. Kentgens, Organometallics, 1993, 12, 1523."
"197" "LC2008-CMP92" "C22H19NO2PRh" "-88" 295 "C6D6" 463.271021 22 1 1 2 "[O]#C[Rh](CP(=Nc1ccc(cc1)C)(c1ccccc1)c1ccccc1)C#[O]" "C1C1C1" "P. Imhoff, S. C. A. Nefkens, C. J. Elsevier, K. Goubitz and C. H. Stam, Organometallics, 1991, 10, 1421."
"198" "LC2008-CMP93" "C41H36N2O2P2Rh" "11" 298 "C6D6" 753.589762 41 2 1 2 "[O]#C[Rh](P(=Nc1ccc(cc1)C)(c1ccccc1)c1ccccc1)(CP(=Nc1ccc(cc1)C)(c1ccccc1)c1ccccc1)C#[O]" "P1C1C1C1" "P. Imhoff, R. van Asselt, J. M. Ernsting, K. Vrieze, C. J. Elsevier, W. J. J. Smeets, A. L. Spek and A. P. M. Kentgens, Organometallics, 1993, 12, 1523."
"199" "LC2008-CMP94" "C39H37P2Rh" "-1021" 310 "C6D6" 670.564102 39 0 1 0 "c1ccc(cc1)P([Rh]12(CC2C1)P(c1ccccc1)(c1ccccc1)c1ccccc1)(c1ccccc1)c1ccccc1" "P1P1C1C1C1" "R. Benn, H. Brenneke and A. Rufińska, J. Organomet. Chem., 1987, 320, 115."
"200" "LC2008-CMP95" "C37H45P2Rh" "-1002" 298 "THF" 654.606222 37 0 1 0 "CC1CC(C)P([Rh]23(P1(c1ccccc1)c1ccccc1)C1C2CCCCCC31)(c1ccccc1)c1ccccc1" "P1P1C1C1C1" "S. Lange, K. Wittmann, B. Gabor, R. Mynott and W. Leitner, Tetrahedron Asymmetry, 1998, 9, 475."
"201" "LC2008-CMP96" "C39H47O2P2Rh" "-1015" 298 "C6D6" 712.642302000001 39 0 1 2 "CC1(C)OC2C(O1)CP([Rh]13(P(C2)(c2ccccc2)c2ccccc2)C2C1CCCCCC32)(c1ccccc1)c1ccccc1" "P1P1C1C1C1" "S. Lange, K. Wittmann, B. Gabor, R. Mynott and W. Leitner, Tetrahedron Asymmetry, 1998, 9, 475."
"202" "LC2008-CMP97" "C20H26BF4Rh" "-52" 300 "CD2Cl2" 456.1305528 20 0 1 0 "CC12C3([Rh]4567892(C1(C)C5(C9(C34C)C)C)C1C8C7C6C=CC=C1)C.F[B](F)(F)F" "C1C1C1C1C1C1C1C1C1C1" "J. H. Bieri, T. Egolf, W. Von Philipsborn, U. Piantini, R. Prewo, U. Ruppli and A. Salzer, Organometallics, 1986, 5, 2413."
"203" "LC2008-CMP100" "C36H61BF4P2Rh" "-1116" 298 "CD3OD" 745.527174800001 36 0 1 0 "F[B](F)(F)F.CCC1CCC(P21c1ccccc1P1([Rh]345672(CC)C2(C6(C4(C5(C3(C72C)C)C)C)C)C)C(CC)CCC1CC)CC" "C1C1C1C1C1C1P1P1C1" "D. Heller, H.-J. Drexler, A. Spannenberg, B. Heller, J. You and W. Baumann, Angew. Chem. Int. Ed., 2002, 41, 777."
"204" "LC2008-CMP101" "C40H48BF4P2Rh" "-1006" 298 "CD3OD" 780.466754800001 40 0 1 0 "F[B](F)(F)F.Cc1ccccc1P1(CCP([Rh]234561C1(C5(C3(C4(C2(C61C)C)C)C)C)C)(c1ccccc1)c1ccccc1C)c1ccccc1" "P1P1C1C1C1C1C1C1" "D. Heller, H.-J. Drexler, A. Spannenberg, B. Heller, J. You and W. Baumann, Angew. Chem. Int. Ed., 2002, 41, 777."
"205" "LC2008-CMP102" "C43H44BF4O6P2Rh" "-762" 298 "CD3OD" 908.4634948 43 0 1 6 "F[B](F)(F)F.OC[C@@H]1O[C@H](Oc2ccccc2)[C@@H]2[C@@H]([C@H]1O)OP(c1ccccc1)(c1ccccc1)[Rh]13456(P(O2)(c2ccccc2)c2ccccc2)C2C1C5C6(C4C32)C" "C1C1C1C1C1C1P1P1" "D. Heller, H.-J. Drexler, A. Spannenberg, B. Heller, J. You and W. Baumann, Angew. Chem. Int. Ed., 2002, 41, 777."
"206" "LC2008-CMP103" "C45H38BF4P2Rh" "-391" 298 "DCCl3" 830.4408548 45 0 1 0 "CP([Rh]1234C5C1C2C4(c1c5cccc1)c1c(P3(c2ccccc2)c2ccccc2)ccc2c1cccc2)(c1ccccc1)c1ccccc1.F[B](F)(F)F" "P1C1C1C1C1P1" "M. Soleilhavoup, L. Viau, G. Commenges, C. Lepetit and R. Chauvin, Eur. J. Inorg. Chem., 2003, 207."
"207" "LC2008-CMP104" "C27H41PRh" "22" 310 "THF" 499.493701 27 0 1 0 "C1CCC(CC1)P1(Cc2c([Rh]3451C1C5CCC3C4CC1)cccc2)C1CCCCC1" "C1C1C1C1P1C1" "R. Benn, H. Brenneke and A. Rufińska, J. Organomet. Chem., 1987, 320, 115."
"208" "LC2008-CMP105" "C42H39N4P3Rh" "-734" 295 "THF" 795.612643 42 4 1 0 "c1ccc(cc1)P(c1ccccc1)(c1ccccc1)[Rh]c1c(cccc1CP(n1cccc1)n1cccc1)CP(n1cccc1)n1cccc1" "C1P1" "E. Kossoy, M. A. Iron, B. Rybtchinski, Y. Ben-David, L. J. W. Shimon, L. Konstantinovski, J. M. L. Martin and D. Milstein, Chem. Eur. J., 2005, 11, 2319."
"209" "LC2008-CMP106" "C30H39N4P3Rh" "-781" 295 "C6D6" 651.484243 30 4 1 0 "CCP([Rh]c1c(cccc1CP(n1cccc1)n1cccc1)CP(n1cccc1)n1cccc1)(CC)CC" "C1P1" "E. Kossoy, M. A. Iron, B. Rybtchinski, Y. Ben-David, L. J. W. Shimon, L. Konstantinovski, J. M. L. Martin and D. Milstein, Chem. Eur. J., 2005, 11, 2319."
"210" "LC2008-CMP107" "C36H36N7P3Rh" "-854" 295 "toluene-d8" 762.544723 36 7 1 0 "c1cc(CP(n2cccc2)n2cccc2)c(c(c1)CP(n1cccc1)n1cccc1)[Rh]P(n1cccc1)(n1cccc1)n1cccc1" "C1P1" "E. Kossoy, M. A. Iron, B. Rybtchinski, Y. Ben-David, L. J. W. Shimon, L. Konstantinovski, J. M. L. Martin and D. Milstein, Chem. Eur. J., 2005, 11, 2319."
"211" "LC2008-CMP108" "C27H33ClN6Rh" "2874" 298 "DCCl3" 579.94962 27 6 1 0 "CN=C=N(c1ccc(cc1)[Rh](c1cccc(c1)N(=C=NC)C)(c1cccc(c1)N(=C=NC)C)Cl)C" "C1C1Cl1C1" "E. C- etinkaya, P. B. Hitchcock, H. Küc- ükbay, M. F. Lappert and S. Al-Juaid, J. Organomet. Chem., 1994, 481, 89."
"212" "LC2008-CMP109" "C26H33ClN4Rh" "642" 298 "DCCl3" 539.92552 26 4 1 0 "CN=C=N(c1ccc(cc1)[Rh](c1cccc(c1)N(=C=NC)C)(C1C=CCCC=CC1)Cl)C" "C1Cl1C1C1" "E. C- etinkaya, P. B. Hitchcock, H. Küc- ükbay, M. F. Lappert and S. Al-Juaid, J. Organomet. Chem., 1994, 481, 89."
"213" "LC2008-CMP110" "C12H12Rh" "-993" 300 "pentane-d12" 259.12918 12 0 1 0 "C12C3C4C5C6C7C1[Rh]189%10234567C2C1C9C%10C82" "C1C1C1C1C1C1C1C1C1C1C1C1" "E. Maurer, S. Rieker, M. Schollbach, A. Schwenk, T. Egolf and W. von Philipsborn, Helv. Chim. Acta, 1982, 65, 26."
"214" "LC2008-CMP112" "C46H42N2P2Rh" "-775" 247 "DCCl3" 787.692102000001 46 2 1 0 "N#C[Rh](P(c1ccccc1)(c1ccccc1)c1ccccc1)(P(c1ccccc1)(c1ccccc1)c1ccccc1)C#Nc1c(C)cccc1C" "C1P1P1C1" "L. Carlton, Magn. Reson. Chem., 2004, 42, 760."
"215" "LC2008-CMP113" "C64H58BN2P2Rh" "-817" 247 "DCCl3" 1030.822742 64 2 1 0 "Cc1cccc(c1N#C[Rh](P(c1ccccc1)(c1ccccc1)c1ccccc1)(P(c1ccccc1)(c1ccccc1)c1ccccc1)C#N[B](c1ccccc1)(c1ccccc1)c1ccccc1)C" "P1P1C1C1" "L. Carlton, Magn. Reson. Chem., 2004, 42, 760."
"216" "LC2008-CMP116" "C45H44N4P2Rh" "-251" 300 "DCCl3" 805.710682 45 4 1 0 "N=N=N[Rh](P(c1ccccc1)(c1ccccc1)c1ccccc1)(P(c1ccccc1)(c1ccccc1)c1ccccc1)C#Nc1c(C)cccc1C" "P1P1N1C1" "L. Carlton, Magn. Reson. Chem., 2004, 42, 760."
"217" "LC2008-CMP117" "C45H44N4P2Rh" "-282" 247 "DCCl3" 805.710682 45 4 1 0 "N=N=N[Rh](P(c1ccccc1)(c1ccccc1)c1ccccc1)(P(c1ccccc1)(c1ccccc1)c1ccccc1)C#Nc1c(C)cccc1C" "P1P1N1C1" "L. Carlton, Magn. Reson. Chem., 2004, 42, 760."
"218" "LC2008-CMP118" "C46H42N2OP2Rh" "-312" 300 "DCCl3" 803.691502 46 2 1 1 "O=C=N[Rh](P(c1ccccc1)(c1ccccc1)c1ccccc1)(P(c1ccccc1)(c1ccccc1)c1ccccc1)C#Nc1c(C)cccc1C" "P1P1N1C1" "L. Carlton, Magn. Reson. Chem., 2004, 42, 760."
"219" "LC2008-CMP119" "C46H42N2OP2Rh" "-346" 247 "DCCl3" 803.691502 46 2 1 1 "O=C=N[Rh](P(c1ccccc1)(c1ccccc1)c1ccccc1)(P(c1ccccc1)(c1ccccc1)c1ccccc1)C#Nc1c(C)cccc1C" "P1P1N1C1" "L. Carlton, Magn. Reson. Chem., 2004, 42, 760."
"220" "LC2008-CMP120" "C46H42N2P2RhS" "-347" 300 "DCCl3" 819.757102 46 2 1 0 "S=C=N[Rh](P(c1ccccc1)(c1ccccc1)c1ccccc1)(P(c1ccccc1)(c1ccccc1)c1ccccc1)C#Nc1c(C)cccc1C" "P1P1N1C1" "L. Carlton, Magn. Reson. Chem., 2004, 42, 760."
"221" "LC2008-CMP121" "C46H42N2P2RhS" "-382" 247 "DCCl3" 819.757102 46 2 1 0 "S=C=N[Rh](P(c1ccccc1)(c1ccccc1)c1ccccc1)(P(c1ccccc1)(c1ccccc1)c1ccccc1)C#Nc1c(C)cccc1C" "P1P1N1C1" "L. Carlton, Magn. Reson. Chem., 2004, 42, 760."
"222" "LC2008-CMP122" "C47H42N4P2Rh" "-363" 300 "DCCl3" 827.716202 47 4 1 0 "N#CN([Rh](P(c1ccccc1)(c1ccccc1)c1ccccc1)(P(c1ccccc1)(c1ccccc1)c1ccccc1)C#Nc1c(C)cccc1C)C#N" "P1P1N1C1" "L. Carlton, Magn. Reson. Chem., 2004, 42, 760."
"223" "LC2008-CMP123" "C47H42N4P2Rh" "-397" 247 "DCCl3" 827.716202 47 4 1 0 "N#CN([Rh](P(c1ccccc1)(c1ccccc1)c1ccccc1)(P(c1ccccc1)(c1ccccc1)c1ccccc1)C#Nc1c(C)cccc1C)C#N" "P1P1N1C1" "L. Carlton, Magn. Reson. Chem., 2004, 42, 760."
"224" "LC2008-CMP124" "C64H58BN2P2Rh" "-388" 300 "DCCl3" 1030.822742 64 2 1 0 "Cc1cccc(c1N#C[Rh](P(c1ccccc1)(c1ccccc1)c1ccccc1)(P(c1ccccc1)(c1ccccc1)c1ccccc1)N#C[B](c1ccccc1)(c1ccccc1)c1ccccc1)C" "P1P1N1C1" "L. Carlton, Magn. Reson. Chem., 2004, 42, 760."
"225" "LC2008-CMP125" "C64H58BN2P2Rh" "-420" 247 "DCCl3" 1030.822742 64 2 1 0 "Cc1cccc(c1N#C[Rh](P(c1ccccc1)(c1ccccc1)c1ccccc1)(P(c1ccccc1)(c1ccccc1)c1ccccc1)N#C[B](c1ccccc1)(c1ccccc1)c1ccccc1)C" "P1P1N1C1" "L. Carlton, Magn. Reson. Chem., 2004, 42, 760."
"226" "LC2008-CMP128" "C45H42ClNP2Rh" "-250" 300 "DCCl3" 797.127702 45 1 1 0 "Cc1cccc(c1N#C[Rh](P(c1ccccc1)(c1ccccc1)c1ccccc1)(P(c1ccccc1)(c1ccccc1)c1ccccc1)Cl)C" "P1P1Cl1C1" "L. Carlton, Magn. Reson. Chem., 2004, 42, 760."
"227" "LC2008-CMP129" "C45H42ClNP2Rh" "-279" 247 "DCCl3" 797.127702 45 1 1 0 "Cc1cccc(c1N#C[Rh](P(c1ccccc1)(c1ccccc1)c1ccccc1)(P(c1ccccc1)(c1ccccc1)c1ccccc1)Cl)C" "P1P1Cl1C1" "L. Carlton, Magn. Reson. Chem., 2004, 42, 760."
"228" "LC2008-CMP130" "C45H42ClNP2Rh" "-261" 300 "CD2Cl2" 797.127702 45 1 1 0 "Cc1cccc(c1N#C[Rh](P(c1ccccc1)(c1ccccc1)c1ccccc1)(P(c1ccccc1)(c1ccccc1)c1ccccc1)Cl)C" "P1P1Cl1C1" "L. Carlton, L. V. Mokoena and M. A. Fernandes, Inorg. Chem., 2008, 47, 8696."
"229" "LC2008-CMP131" "C45H42BrNP2Rh" "-335" 300 "toluene-d8" 841.578702 45 1 1 0 "Cc1cccc(c1N#C[Rh](P(c1ccccc1)(c1ccccc1)c1ccccc1)(P(c1ccccc1)(c1ccccc1)c1ccccc1)Br)C" "P1P1Br1C1" "L. Carlton, L. V. Mokoena and M. A. Fernandes, Inorg. Chem., 2008, 47, 8696."
"230" "LC2008-CMP132" "C51H42F5NP2RhS" "-366" 300 "toluene-d8" 960.795918 51 1 1 0 "Cc1cccc(c1N#C[Rh](P(c1ccccc1)(c1ccccc1)c1ccccc1)(P(c1ccccc1)(c1ccccc1)c1ccccc1)Sc1c(F)c(F)c(c(c1F)F)F)C" "P1P1S1C1" "L. Carlton, L. V. Mokoena and M. A. Fernandes, Inorg. Chem., 2008, 47, 8696."
"231" "LC2008-CMP133" "C13H13Rh" "-348" 300 "acetone" 272.14782 13 0 1 0 "C1=CC2C3[Rh]456782(C(C=C1)C34)C1C7C6C5C81" "C1C1C1C1C1C1C1C1C1" "J. H. Bieri, T. Egolf, W. Von Philipsborn, U. Piantini, R. Prewo, U. Ruppli and A. Salzer, Organometallics, 1986, 5, 2413."
"232" "LC2008-CMP136" "C18H18CoRh" "-256" 300 "CD2Cl2" 396.17422 18 0 1 0 "C12C3[Co]456782(C1C5C34)C1C8C2C3C6C7C4C1[Rh]1567234C2C6C5C1C72" "C1C1C1C1C1C1C1C1C1" "J. H. Bieri, T. Egolf, W. Von Philipsborn, U. Piantini, R. Prewo, U. Ruppli and A. Salzer, Organometallics, 1986, 5, 2413."
"233" "LC2008-CMP142" "C18H19F6PRhRu" "-1209" 296 "acetone" 584.2831402 18 0 1 0 "C1C2C3[Rh]456782([Ru]29%10%11%12%13%14(C1C2C9C%14C34)C1C%12C%11C%10C%131)C1C7C6C5C81.F[P](F)(F)(F)(F)F" "Ru1C1C1C1C1C1C1C1C1" "J. H. Bieri, T. Egolf, W. Von Philipsborn, U. Piantini, R. Prewo, U. Ruppli and A. Salzer, Organometallics, 1986, 5, 2413."
"234" "LC2008-CMP143" "C17H15Rh" "-18" 300 "CD2Cl2" 322.2065 17 0 1 0 "C1=CC23C4(C=C1)[Rh]156783(C2C5C41)C1C8C=CC6C7C=C1" "C1C1C1C1C1C1C1C1C1" "J. H. Bieri, T. Egolf, W. Von Philipsborn, U. Piantini, R. Prewo, U. Ruppli and A. Salzer, Organometallics, 1986, 5, 2413."
"235" "LC2008-CMP145" "C19H20BF4FeO3Rh" "131" 300 "propylene carbonate" 541.9154128 19 0 1 3 "F[B](F)(F)F.[O]#C[Fe]123(C#[O])(C#[O])C4C1C1[Rh]56789%103(C(C24)C9C8C1%10)C1C7CCC5C6CC1" "Fe1C1C1C1C1C1C1C1C1C1" "E. Maurer, S. Rieker, M. Schollbach, A. Schwenk, T. Egolf and W. von Philipsborn, Helv. Chim. Acta, 1982, 65, 26.; A. Salzer, T. Egolf and W. von Philipsborn, Helv. Chim. Acta, 1982, 65, 1145."
"236" "LC2008-CMP146" "C18H16BF4FeO3Rh" "-67" 300 "CD2Cl2" 525.8729528 18 0 1 3 "F[B](F)(F)F.[O]#C[Fe]123(C#[O])(C#[O])C4C1C1[Rh]56789%103(C(C24)C5C%10C16)C1C9C2C8C7C1C2" "Fe1C1C1C1C1C1C1C1C1C1" "E. Maurer, S. Rieker, M. Schollbach, A. Schwenk, T. Egolf and W. von Philipsborn, Helv. Chim. Acta, 1982, 65, 26.; A. Salzer, T. Egolf and W. von Philipsborn, Helv. Chim. Acta, 1982, 65, 1145."
"237" "LC2008-CMP147" "C13H15O2Rh" "1760" 300 "CD2Cl2" 306.1625 13 0 1 2 "CC1=CC(=[O][Rh]234(O1)C1C4C3C2C=CC=C1)C" "O1O1C1C1C1C1" "E. Maurer, S. Rieker, M. Schollbach, A. Schwenk, T. Egolf and W. von Philipsborn, Helv. Chim. Acta, 1982, 65, 26."
"238" "LC2008-CMP151" "C18H19FeO3Rh" "-133" 300 "C6D6" 442.09216 18 0 1 3 "[O]#C[Fe]12(C#[O])(C#[O])C3C1C1C4[Rh]56781(C(C23)C45)C1C8CCC6C7CC1" "C1C1C1C1C1C1C1C1" "E. Maurer, S. Rieker, M. Schollbach, A. Schwenk, T. Egolf and W. von Philipsborn, Helv. Chim. Acta, 1982, 65, 26.; A. Salzer, T. Egolf and W. von Philipsborn, Helv. Chim. Acta, 1982, 65, 1145."
"239" "LC2008-CMP153" "C17H15FeO3Rh" "-86" 300 "C6D6" 426.0497 17 0 1 3 "[O]#C[Fe]12(C#[O])(C#[O])C3C1C1C4[Rh]56781(C(C23)C45)C1C8C2C7C6C1C2" "C1C1C1C1C1C1C1C1" "E. Maurer, S. Rieker, M. Schollbach, A. Schwenk, T. Egolf and W. von Philipsborn, Helv. Chim. Acta, 1982, 65, 26.; A. Salzer, T. Egolf and W. von Philipsborn, Helv. Chim. Acta, 1982, 65, 1145."
"240" "LC2008-CMP154" "C12H7FeO5Rh" "-739" 300 "acetone" 389.93148 12 0 1 5 "[O]#C[Rh]123(C#[O])C4C1C2C1C2C(C34)[Fe]12(C#[O])(C#[O])C#[O]" "C1C1C1C1C1C1" "E. Maurer, S. Rieker, M. Schollbach, A. Schwenk, T. Egolf and W. von Philipsborn, Helv. Chim. Acta, 1982, 65, 26."
"241" "LC2008-CMP156" "C9H11Rh" "-1256" 300 "hexane-d14" 222.08914 9 0 1 0 "C1C2[Rh]345671(C2C3)C1C6C5C4C71" "C1C1C1C1C1C1C1C1C1" "E. Maurer, S. Rieker, M. Schollbach, A. Schwenk, T. Egolf and W. von Philipsborn, Helv. Chim. Acta, 1982, 65, 26."
"242" "LC2008-CMP157" "C9H9Rh" "-2057" 300 "pentane-d12" 220.07326 9 0 1 0 "C12C3C4C5C1[Rh]1672345C2C1C7C62" "C1C1C1C1C1C1C1C1C1" "E. Maurer, S. Rieker, M. Schollbach, A. Schwenk, T. Egolf and W. von Philipsborn, Helv. Chim. Acta, 1982, 65, 26."
"243" "LC2008-CMP158" "C10H13Rh" "-1004" 300 "C6D6" 236.11572 10 0 1 0 "CC1C2[Rh]345671(C2C3)C1C6C5C4C71" "C1C1C1C1C1C1C1C1C1" "E. Maurer, S. Rieker, M. Schollbach, A. Schwenk, T. Egolf and W. von Philipsborn, Helv. Chim. Acta, 1982, 65, 26."
"244" "LC2008-CMP159" "C11H15Rh" "-1120" 300 "hexane-d14" 250.1423 11 0 1 0 "CC1C2[Rh]345671(C2C3C)C1C6C5C4C71" "C1C1C1C1C1C1C1C1C1" "E. Maurer, S. Rieker, M. Schollbach, A. Schwenk, T. Egolf and W. von Philipsborn, Helv. Chim. Acta, 1982, 65, 26."
"245" "LC2008-CMP160" "C11H15Rh" "-1109" 296 "C6D6" 250.1423 11 0 1 0 "CC12C[Rh]345671(C2(C3)C)C1C6C5C4C71" "C1C1C1C1C1C1C1C1C1" "B. Buchmann, U. Piantini, W. von Philipsborn and A. Salzer, Helv. Chim. Acta, 1987, 70, 1487."
"246" "LC2008-CMP161" "C11H15Rh" "-958" 300 "C6D6" 250.1423 11 0 1 0 "C[Rh]123456(C7CC2C1C7)C1C5C4C3C61" "C1C1C1C1C1C1C1C1C1" "E. Maurer, S. Rieker, M. Schollbach, A. Schwenk, T. Egolf and W. von Philipsborn, Helv. Chim. Acta, 1982, 65, 26."
"247" "LC2008-CMP162" "C11H15Rh" "-780" 300 "hexane-d14" 250.1423 11 0 1 0 "C1CC2[Rh]34567(C1C3)(C2)C1C6C5C4C71" "C1C1C1C1C1C1C1C1C1" "E. Maurer, S. Rieker, M. Schollbach, A. Schwenk, T. Egolf and W. von Philipsborn, Helv. Chim. Acta, 1982, 65, 26."
"248" "LC2008-CMP163" "C11H13Rh" "-1272" 300 "THF" 248.12642 11 0 1 0 "C1CC2[Rh]345678(C1C3C24)C1C7C6C5C81" "C1C1C1C1C1C1C1C1C1" "E. Maurer, S. Rieker, M. Schollbach, A. Schwenk, T. Egolf and W. von Philipsborn, Helv. Chim. Acta, 1982, 65, 26."
"249" "LC2008-CMP164" "C11H13Rh" "-706" 300 "hexane-d14" 248.12642 11 0 1 0 "C1CC23C41C[Rh]156724(C3)C2C6C5C1C72" "C1C1C1C1C1C1C1C1C1" "E. Maurer, S. Rieker, M. Schollbach, A. Schwenk, T. Egolf and W. von Philipsborn, Helv. Chim. Acta, 1982, 65, 26."
"250" "LC2008-CMP165" "C12H15Rh" "-940" 300 "THF" 262.153 12 0 1 0 "C1CC2C3[Rh]456782(C(C1)C34)C1C7C6C5C81" "C1C1C1C1C1C1C1C1C1" "E. Maurer, S. Rieker, M. Schollbach, A. Schwenk, T. Egolf and W. von Philipsborn, Helv. Chim. Acta, 1982, 65, 26."
"251" "LC2008-CMP166" "C12H15Rh" "-938" 300 "acetone" 262.153 12 0 1 0 "C1CC2C3[Rh]456782(C(C1)C34)C1C7C6C5C81" "C1C1C1C1C1C1C1C1C1" "E. Maurer, S. Rieker, M. Schollbach, A. Schwenk, T. Egolf and W. von Philipsborn, Helv. Chim. Acta, 1982, 65, 26."
"252" "LC2008-CMP167" "C12H13Rh" "-786" 300 "THF" 260.13712 12 0 1 0 "C1C2C3C4C1C1C2[Rh]2567341C1C6C5C2C71" "C1C1C1C1C1C1C1C1C1" "E. Maurer, S. Rieker, M. Schollbach, A. Schwenk, T. Egolf and W. von Philipsborn, Helv. Chim. Acta, 1982, 65, 26."
"253" "LC2008-CMP168" "C13H17Rh" "-787" 300 "toluene-d8" 276.17958 13 0 1 0 "C1CC2[Rh]345678(C1C3CCC24)C1C7C6C5C81" "C1C1C1C1C1C1C1C1C1" "E. Maurer, S. Rieker, M. Schollbach, A. Schwenk, T. Egolf and W. von Philipsborn, Helv. Chim. Acta, 1982, 65, 26."
"254" "LC2008-CMP169" "C13H17Rh" "-785" 300 "C6D6" 276.17958 13 0 1 0 "C1CC2[Rh]345678(C1C3CCC24)C1C7C6C5C81" "C1C1C1C1C1C1C1C1C1" "E. Maurer, S. Rieker, M. Schollbach, A. Schwenk, T. Egolf and W. von Philipsborn, Helv. Chim. Acta, 1982, 65, 26."
"255" "LC2008-CMP175" "C7H5O2Rh" "-1321" 300 "C6D6" 224.0189 7 0 1 2 "[O]#C[Rh]1234(C#[O])C5C3C2C1C45" "C1C1C1C1C1C1C1" "E. Maurer, S. Rieker, M. Schollbach, A. Schwenk, T. Egolf and W. von Philipsborn, Helv. Chim. Acta, 1982, 65, 26."
"256" "LC2008-CMP178" "C16H25Rh" "-1004" 296 "C6D6" 320.2752 16 0 1 0 "CC12C[Rh]345672(C1(C)C3)C1(C6(C5(C4(C71C)C)C)C)C" "C1C1C1C1C1C1C1C1C1" "B. Buchmann, U. Piantini, W. von Philipsborn and A. Salzer, Helv. Chim. Acta, 1987, 70, 1487."
"257" "LC2008-CMP179" "C8H7O2Rh" "-1310" 298 "C6D6" 238.04548 8 0 1 2 "[O]#C[Rh](C1(C)C=CC=C1)C#[O]" "C1C1C1" "P. B. Graham, M. D. Rausch, K. Täschler and W. von Philipsborn, Organometallics, 1991, 10, 3049.; M. Koller and W. von Philipsborn, Organometallics, 1992, 11, 467."
"258" "LC2008-CMP180" "C10H13O2RhSi" "-1321" 298 "C6D6" 296.20002 10 0 1 2 "[O]#C[Rh](C1(C=CC=C1)[Si](C)(C)C)C#[O]" "C1C1C1" "P. B. Graham, M. D. Rausch, K. Täschler and W. von Philipsborn, Organometallics, 1991, 10, 3049."
"259" "LC2008-CMP181" "C14H11O2Rh" "-1278" 298 "C6D6" 314.14144 14 0 1 2 "[O]#C[Rh](C1(C=CC=C1)Cc1ccccc1)C#[O]" "C1C1C1" "P. B. Graham, M. D. Rausch, K. Täschler and W. von Philipsborn, Organometallics, 1991, 10, 3049."
"260" "LC2008-CMP182" "C8H5O3Rh" "-1191" 298 "C6D6" 252.029 8 0 1 3 "O=CC1(C=CC=C1)[Rh](C#[O])C#[O]" "C1C1C1" "P. B. Graham, M. D. Rausch, K. Täschler and W. von Philipsborn, Organometallics, 1991, 10, 3049."
"261" "LC2008-CMP183" "C9H7O3Rh" "-1207" 298 "C6D6" 266.05558 9 0 1 3 "[O]#C[Rh](C1(C=CC=C1)C(=O)C)C#[O]" "C1C1C1" "P. B. Graham, M. D. Rausch, K. Täschler and W. von Philipsborn, Organometallics, 1991, 10, 3049."
"262" "LC2008-CMP184" "C9H9O4Rh" "-1205" 298 "C6D6" 284.07086 9 0 1 4 "[O]#C[Rh](C1(C=CC=C1)C(O)(O)C)C#[O]" "C1C1C1" "P. B. Graham, M. D. Rausch, K. Täschler and W. von Philipsborn, Organometallics, 1991, 10, 3049."
"263" "LC2008-CMP185" "C8H4F3O2Rh" "-1220" 298 "C6D6" 292.0168696 8 0 1 2 "[O]#C[Rh](C1(C=CC=C1)C(F)(F)F)C#[O]" "C1C1C1" "M. Koller and W. von Philipsborn, Organometallics, 1992, 11, 467."
"264" "LC2008-CMP186" "C7H4ClO2Rh" "-1166" 298 "C6D6" 258.46396 7 0 1 2 "[O]#C[Rh](C1(Cl)C=CC=C1)C#[O]" "C1C1C1" "M. Koller and W. von Philipsborn, Organometallics, 1992, 11, 467."
